timestamp,check_number,price,ribbon_state,green_count,red_count,yellow_count,gray_count,dark_green_count,dark_red_count,position_side,position_size,position_entry,position_pnl,account_value,margin_used,unrealized_pnl,last_signal,last_warning,profit_secured
2025-10-16T21:00:58.276220,1,3871.35,all_red,0,25,2,1,0,25,none,0,0,0,527.077044,0.0,0.0,,,False
2025-10-16T21:01:11.296558,2,3871.25,all_red,0,25,2,1,0,25,none,0,0,0,527.077044,0.0,0.0,,,False
2025-10-16T21:01:24.373183,3,3869.15,all_red,0,25,2,1,0,25,none,0,0,0,527.077044,0.0,0.0,,,False
2025-10-16T21:01:37.255455,4,3872.65,all_red,0,25,2,1,0,25,none,0,0,0,527.077044,0.0,0.0,,,False
2025-10-16T21:01:50.235842,5,3873.75,all_red,0,25,2,1,0,25,none,0,0,0,527.077044,0.0,0.0,,,False
2025-10-16T21:02:02.649653,6,3873.85,all_red,0,25,2,1,0,25,none,0,0,0,527.077044,0.0,0.0,,,False
2025-10-16T21:02:15.402991,7,3877.75,all_red,0,25,2,1,0,25,none,0,0,0,527.077044,0.0,0.0,,,False
2025-10-16T21:02:28.226844,8,3876.35,all_red,0,25,2,1,0,25,none,0,0,0,527.077044,0.0,0.0,,,False
2025-10-16T21:02:40.890956,9,3877.1,all_red,0,25,2,1,0,25,none,0,0,0,527.077044,0.0,0.0,,,False
2025-10-16T21:02:53.484902,10,3874.75,all_red,0,25,2,1,0,25,none,0,0,0,527.077044,0.0,0.0,,,False
2025-10-16T21:03:06.711003,11,3872.25,all_red,0,25,2,1,0,25,none,0,0,0,527.077044,0.0,0.0,,,False
2025-10-16T21:03:19.209036,12,3869.05,all_red,0,25,2,1,0,25,none,0,0,0,527.077044,0.0,0.0,,,False
2025-10-16T21:03:31.692206,13,3866.45,all_red,0,25,2,1,0,25,none,0,0,0,527.077044,0.0,0.0,,,False
2025-10-16T21:03:44.672620,14,3864.75,all_red,0,25,2,1,0,25,none,0,0,0,527.077044,0.0,0.0,,,False
2025-10-16T21:03:57.404487,15,3862.35,all_red,0,25,2,1,0,25,none,0,0,0,527.077044,0.0,0.0,,,False
2025-10-16T21:04:09.902503,16,3859.15,all_red,0,25,2,1,0,25,none,0,0,0,527.077044,0.0,0.0,,,False
