timestamp,price,ribbon_state,MMA5_value,MMA5_color,MMA5_intensity,MMA10_value,MMA10_color,MMA10_intensity,MMA15_value,MMA15_color,MMA15_intensity,MMA20_value,MMA20_color,MMA20_intensity,MMA25_value,MMA25_color,MMA25_intensity,MMA30_value,MMA30_color,MMA30_intensity,MMA35_value,MMA35_color,MMA35_intensity,MMA40_value,MMA40_color,MMA40_intensity,MMA45_value,MMA45_color,MMA45_intensity,MMA50_value,MMA50_color,MMA50_intensity,MMA55_value,MMA55_color,MMA55_intensity,MMA60_value,MMA60_color,MMA60_intensity,MMA65_value,MMA65_color,MMA65_intensity,MMA70_value,MMA70_color,MMA70_intensity,MMA75_value,MMA75_color,MMA75_intensity,MMA80_value,MMA80_color,MMA80_intensity,MMA85_value,MMA85_color,MMA85_intensity,MMA90_value,MMA90_color,MMA90_intensity,MMA100_value,MMA100_color,MMA100_intensity,MMA105_value,MMA105_color,MMA105_intensity,MMA110_value,MMA110_color,MMA110_intensity,MMA115_value,MMA115_color,MMA115_intensity,MMA120_value,MMA120_color,MMA120_intensity,MMA125_value,MMA125_color,MMA125_intensity,MMA130_value,MMA130_color,MMA130_intensity,MMA135_value,MMA135_color,MMA135_intensity,MMA140_value,MMA140_color,MMA140_intensity,MMA145_value,MMA145_color,MMA145_intensity
2025-10-17T10:08:58.745541,3730.95,mixed,3731.00,green,light,3726.26,green,light,3725.91,green,light,3727.32,gray,normal,3729.67,gray,normal,3736.01,gray,normal,3743.56,red,dark,3747.54,yellow,normal,3751.58,red,dark,3755.61,red,dark,3759.60,red,dark,3763.53,red,dark,3767.37,red,dark,3772.94,red,dark,3778.24,red,dark,3781.63,red,dark,3784.89,red,dark,3789.55,red,dark,3799.39,yellow,normal,3805.61,red,dark,3811.23,red,dark,3816.34,red,dark,3820.99,red,dark,3825.25,red,dark,3829.17,red,dark,3832.80,red,dark,3836.18,red,dark,3842.33,red,dark
2025-10-17T10:09:09.685858,3731.05,mixed,3731.00,green,light,3726.26,green,light,3725.91,green,light,3727.32,gray,normal,3729.67,gray,normal,3736.01,gray,normal,3743.56,red,dark,3747.54,yellow,normal,3751.58,red,dark,3755.61,red,dark,3759.60,red,dark,3763.53,red,dark,3767.37,red,dark,3772.94,red,dark,3778.24,red,dark,3781.63,red,dark,3784.89,red,dark,3789.55,red,dark,3799.39,yellow,normal,3805.61,red,dark,3811.23,red,dark,3816.34,red,dark,3820.99,red,dark,3825.25,red,dark,3829.17,red,dark,3832.80,red,dark,3836.18,red,dark,3842.33,red,dark
2025-10-17T10:09:20.580779,3729.85,mixed,3729.63,green,light,3725.44,green,light,3725.33,green,light,3726.86,gray,normal,3729.30,gray,normal,3735.74,red,dark,3743.34,red,dark,3747.35,yellow,normal,3751.40,red,dark,3755.44,red,dark,3759.45,red,dark,3763.39,red,dark,3767.24,red,dark,3772.82,red,dark,3778.13,red,dark,3781.52,red,dark,3784.79,red,dark,3789.46,red,dark,3799.31,yellow,normal,3805.54,red,dark,3811.17,red,dark,3816.28,red,dark,3820.93,red,dark,3825.19,red,dark,3829.12,red,dark,3832.75,red,dark,3836.14,red,dark,3842.29,red,dark
2025-10-17T10:09:31.500136,3728.75,mixed,3728.04,green,light,3724.49,green,light,3724.65,green,light,3726.33,gray,normal,3728.86,gray,normal,3735.42,red,dark,3743.09,red,dark,3747.12,yellow,normal,3751.19,red,dark,3755.25,red,dark,3759.27,red,dark,3763.23,red,dark,3767.09,red,dark,3772.68,red,dark,3778.00,red,dark,3781.40,red,dark,3784.67,red,dark,3789.35,red,dark,3799.22,yellow,normal,3805.45,red,dark,3811.09,red,dark,3816.20,red,dark,3820.86,red,dark,3825.13,red,dark,3829.06,red,dark,3832.70,red,dark,3836.09,red,dark,3842.24,red,dark
2025-10-17T10:09:42.322301,3731.65,mixed,3728.04,green,light,3724.49,green,light,3724.65,green,light,3726.33,gray,normal,3728.86,gray,normal,3735.42,red,dark,3743.09,red,dark,3747.12,yellow,normal,3751.19,red,dark,3755.25,red,dark,3759.27,red,dark,3763.23,red,dark,3767.09,red,dark,3772.68,red,dark,3778.00,red,dark,3781.40,red,dark,3784.67,red,dark,3789.35,red,dark,3799.22,yellow,normal,3805.45,red,dark,3811.09,red,dark,3816.20,red,dark,3820.86,red,dark,3825.13,red,dark,3829.06,red,dark,3832.70,red,dark,3836.09,red,dark,3842.24,red,dark
2025-10-17T10:09:53.185751,3729.05,mixed,3728.04,green,light,3724.49,green,light,3724.65,green,light,3726.33,gray,normal,3728.86,gray,normal,3735.42,red,dark,3743.09,red,dark,3747.12,yellow,normal,3751.19,red,dark,3755.25,red,dark,3759.27,red,dark,3763.23,red,dark,3767.09,red,dark,3772.68,red,dark,3778.00,red,dark,3781.40,red,dark,3784.67,red,dark,3789.35,red,dark,3799.22,yellow,normal,3805.45,red,dark,3811.09,red,dark,3816.20,red,dark,3820.86,red,dark,3825.13,red,dark,3829.06,red,dark,3832.70,red,dark,3836.09,red,dark,3842.24,red,dark
2025-10-17T10:10:04.437513,3729.8,mixed,3727.88,green,light,3724.39,green,light,3724.58,green,light,3726.28,gray,normal,3728.82,gray,normal,3735.39,red,dark,3743.07,red,dark,3747.10,yellow,normal,3751.17,red,dark,3755.23,red,dark,3759.26,red,dark,3763.21,red,dark,3767.07,red,dark,3772.66,red,dark,3777.99,red,dark,3781.39,red,dark,3784.66,red,dark,3789.34,red,dark,3799.21,yellow,normal,3805.44,red,dark,3811.08,red,dark,3816.20,red,dark,3820.86,red,dark,3825.12,red,dark,3829.05,red,dark,3832.69,red,dark,3836.08,red,dark,3842.24,red,dark
2025-10-17T10:10:15.273557,3729.05,mixed,3731.08,green,light,3727.70,green,light,3726.88,green,light,3727.69,green,light,3729.51,green,light,3735.02,red,dark,3741.97,red,dark,3745.72,yellow,normal,3749.56,red,dark,3753.43,red,dark,3757.28,red,dark,3761.10,red,dark,3764.85,red,dark,3770.31,red,dark,3775.54,red,dark,3778.89,red,dark,3782.12,red,dark,3786.76,red,dark,3796.60,yellow,normal,3802.84,red,dark,3808.51,red,dark,3813.66,red,dark,3818.37,red,dark,3822.69,red,dark,3826.67,red,dark,3830.37,red,dark,3833.81,red,dark,3840.07,red,dark
2025-10-17T10:10:26.132892,3731.65,mixed,3730.83,green,light,3727.55,green,light,3726.77,green,light,3727.61,green,light,3729.44,green,light,3734.97,red,dark,3741.93,red,dark,3745.68,yellow,normal,3749.52,red,dark,3753.40,red,dark,3757.26,red,dark,3761.07,red,dark,3764.82,red,dark,3770.29,red,dark,3775.52,red,dark,3778.87,red,dark,3782.10,red,dark,3786.74,red,dark,3796.58,yellow,normal,3802.83,red,dark,3808.50,red,dark,3813.65,red,dark,3818.36,red,dark,3822.68,red,dark,3826.66,red,dark,3830.36,red,dark,3833.80,red,dark,3840.06,red,dark
2025-10-17T10:10:37.245749,3731.15,mixed,3730.83,green,light,3727.55,green,light,3726.77,green,light,3727.61,green,light,3729.44,green,light,3734.97,red,dark,3741.93,red,dark,3745.68,yellow,normal,3749.52,red,dark,3753.40,red,dark,3757.26,red,dark,3761.07,red,dark,3764.82,red,dark,3770.29,red,dark,3775.52,red,dark,3778.87,red,dark,3782.10,red,dark,3786.74,red,dark,3796.58,yellow,normal,3802.83,red,dark,3808.50,red,dark,3813.65,red,dark,3818.36,red,dark,3822.68,red,dark,3826.66,red,dark,3830.36,red,dark,3833.80,red,dark,3840.06,red,dark
