timestamp,price,ribbon_state,MMA5_value,MMA5_color,MMA5_intensity,MMA10_value,MMA10_color,MMA10_intensity,MMA15_value,MMA15_color,MMA15_intensity,MMA20_value,MMA20_color,MMA20_intensity,MMA25_value,MMA25_color,MMA25_intensity,MMA30_value,MMA30_color,MMA30_intensity,MMA35_value,MMA35_color,MMA35_intensity,MMA40_value,MMA40_color,MMA40_intensity,MMA45_value,MMA45_color,MMA45_intensity,MMA50_value,MMA50_color,MMA50_intensity,MMA55_value,MMA55_color,MMA55_intensity,MMA60_value,MMA60_color,MMA60_intensity,MMA65_value,MMA65_color,MMA65_intensity,MMA70_value,MMA70_color,MMA70_intensity,MMA75_value,MMA75_color,MMA75_intensity,MMA80_value,MMA80_color,MMA80_intensity,MMA85_value,MMA85_color,MMA85_intensity,MMA90_value,MMA90_color,MMA90_intensity,MMA100_value,MMA100_color,MMA100_intensity,MMA105_value,MMA105_color,MMA105_intensity,MMA110_value,MMA110_color,MMA110_intensity,MMA115_value,MMA115_color,MMA115_intensity,MMA120_value,MMA120_color,MMA120_intensity,MMA125_value,MMA125_color,MMA125_intensity,MMA130_value,MMA130_color,MMA130_intensity,MMA135_value,MMA135_color,MMA135_intensity,MMA140_value,MMA140_color,MMA140_intensity,MMA145_value,MMA145_color,MMA145_intensity
2025-10-17T10:08:59.189228,3730.95,all_red,3730.26,gray,normal,3732.49,gray,normal,3741.14,red,dark,3751.87,red,dark,3762.86,red,dark,3782.89,red,dark,3799.23,red,dark,3806.12,yellow,normal,3812.29,red,dark,3817.84,red,dark,3822.88,red,dark,3827.47,red,dark,3831.69,red,dark,3837.45,red,dark,3842.66,red,dark,3845.88,red,dark,3848.93,red,dark,3853.24,red,dark,3862.30,yellow,normal,3868.11,red,dark,3873.52,red,dark,3878.57,red,dark,3883.34,red,dark,3887.86,red,dark,3892.16,red,dark,3896.26,red,dark,3900.19,red,dark,3907.59,red,dark
2025-10-17T10:09:10.127394,3731.05,all_red,3730.26,gray,normal,3732.49,gray,normal,3741.14,red,dark,3751.87,red,dark,3762.86,red,dark,3782.89,red,dark,3799.23,red,dark,3806.12,yellow,normal,3812.29,red,dark,3817.84,red,dark,3822.88,red,dark,3827.47,red,dark,3831.69,red,dark,3837.45,red,dark,3842.66,red,dark,3845.88,red,dark,3848.93,red,dark,3853.24,red,dark,3862.30,yellow,normal,3868.11,red,dark,3873.52,red,dark,3878.57,red,dark,3883.34,red,dark,3887.86,red,dark,3892.16,red,dark,3896.26,red,dark,3900.19,red,dark,3907.59,red,dark
2025-10-17T10:09:21.026905,3729.85,all_red,3728.90,gray,normal,3731.67,gray,normal,3740.56,red,dark,3751.41,red,dark,3762.49,red,dark,3782.62,red,dark,3799.01,red,dark,3805.92,yellow,normal,3812.11,red,dark,3817.68,red,dark,3822.72,red,dark,3827.33,red,dark,3831.56,red,dark,3837.33,red,dark,3842.55,red,dark,3845.77,red,dark,3848.83,red,dark,3853.14,red,dark,3862.22,yellow,normal,3868.04,red,dark,3873.45,red,dark,3878.51,red,dark,3883.28,red,dark,3887.80,red,dark,3892.11,red,dark,3896.22,red,dark,3900.15,red,dark,3907.55,red,dark
2025-10-17T10:09:31.882277,3728.75,all_red,3727.31,gray,normal,3730.72,gray,normal,3739.88,red,dark,3750.88,red,dark,3762.06,red,dark,3782.30,red,dark,3798.76,red,dark,3805.70,yellow,normal,3811.90,red,dark,3817.49,red,dark,3822.55,red,dark,3827.16,red,dark,3831.41,red,dark,3837.19,red,dark,3842.42,red,dark,3845.65,red,dark,3848.71,red,dark,3853.04,red,dark,3862.12,yellow,normal,3867.96,red,dark,3873.37,red,dark,3878.44,red,dark,3883.22,red,dark,3887.74,red,dark,3892.05,red,dark,3896.16,red,dark,3900.10,red,dark,3907.50,red,dark
2025-10-17T10:09:42.849476,3730.25,all_red,3727.31,gray,normal,3730.72,gray,normal,3739.88,red,dark,3750.88,red,dark,3762.06,red,dark,3782.30,red,dark,3798.76,red,dark,3805.70,yellow,normal,3811.90,red,dark,3817.49,red,dark,3822.55,red,dark,3827.16,red,dark,3831.41,red,dark,3837.19,red,dark,3842.42,red,dark,3845.65,red,dark,3848.71,red,dark,3853.04,red,dark,3862.12,yellow,normal,3867.96,red,dark,3873.37,red,dark,3878.44,red,dark,3883.22,red,dark,3887.74,red,dark,3892.05,red,dark,3896.16,red,dark,3900.10,red,dark,3907.50,red,dark
2025-10-17T10:09:53.676152,3729.05,all_red,3727.31,gray,normal,3730.72,gray,normal,3739.88,red,dark,3750.88,red,dark,3762.06,red,dark,3782.30,red,dark,3798.76,red,dark,3805.70,yellow,normal,3811.90,red,dark,3817.49,red,dark,3822.55,red,dark,3827.16,red,dark,3831.41,red,dark,3837.19,red,dark,3842.42,red,dark,3845.65,red,dark,3848.71,red,dark,3853.04,red,dark,3862.12,yellow,normal,3867.96,red,dark,3873.37,red,dark,3878.44,red,dark,3883.22,red,dark,3887.74,red,dark,3892.05,red,dark,3896.16,red,dark,3900.10,red,dark,3907.50,red,dark
2025-10-17T10:10:05.680489,3730.95,all_red,3727.15,gray,normal,3730.63,gray,normal,3739.81,red,dark,3750.83,red,dark,3762.01,red,dark,3782.27,red,dark,3798.74,red,dark,3805.67,yellow,normal,3811.88,red,dark,3817.47,red,dark,3822.53,red,dark,3827.15,red,dark,3831.39,red,dark,3837.18,red,dark,3842.40,red,dark,3845.64,red,dark,3848.70,red,dark,3853.03,red,dark,3862.11,yellow,normal,3867.95,red,dark,3873.36,red,dark,3878.43,red,dark,3883.21,red,dark,3887.74,red,dark,3892.04,red,dark,3896.15,red,dark,3900.09,red,dark,3907.50,red,dark
2025-10-17T10:10:16.472138,3729.05,all_red,3727.57,gray,normal,3730.88,gray,normal,3739.99,red,dark,3750.97,red,dark,3762.13,red,dark,3782.35,red,dark,3798.80,red,dark,3805.73,yellow,normal,3811.94,red,dark,3817.52,red,dark,3822.58,red,dark,3827.19,red,dark,3831.43,red,dark,3837.21,red,dark,3842.44,red,dark,3845.67,red,dark,3848.73,red,dark,3853.05,red,dark,3862.14,yellow,normal,3867.97,red,dark,3873.38,red,dark,3878.45,red,dark,3883.23,red,dark,3887.75,red,dark,3892.06,red,dark,3896.17,red,dark,3900.10,red,dark,3907.51,red,dark
2025-10-17T10:10:27.398352,3731.25,all_red,3727.32,gray,normal,3730.73,gray,normal,3739.88,red,dark,3750.89,red,dark,3762.06,red,dark,3782.30,red,dark,3798.77,red,dark,3805.70,yellow,normal,3811.91,red,dark,3817.49,red,dark,3822.55,red,dark,3827.17,red,dark,3831.41,red,dark,3837.19,red,dark,3842.42,red,dark,3845.65,red,dark,3848.71,red,dark,3853.04,red,dark,3862.12,yellow,normal,3867.96,red,dark,3873.37,red,dark,3878.44,red,dark,3883.22,red,dark,3887.74,red,dark,3892.05,red,dark,3896.16,red,dark,3900.10,red,dark,3907.50,red,dark
2025-10-17T10:10:38.198443,3731.15,all_red,3727.32,gray,normal,3730.73,gray,normal,3739.88,red,dark,3750.89,red,dark,3762.06,red,dark,3782.30,red,dark,3798.77,red,dark,3805.70,yellow,normal,3811.91,red,dark,3817.49,red,dark,3822.55,red,dark,3827.17,red,dark,3831.41,red,dark,3837.19,red,dark,3842.42,red,dark,3845.65,red,dark,3848.71,red,dark,3853.04,red,dark,3862.12,yellow,normal,3867.96,red,dark,3873.37,red,dark,3878.44,red,dark,3883.22,red,dark,3887.74,red,dark,3892.05,red,dark,3896.16,red,dark,3900.10,red,dark,3907.50,red,dark
2025-10-17T10:10:49.103359,3731.05,all_red,3727.78,gray,normal,3731.01,gray,normal,3740.08,red,dark,3751.04,red,dark,3762.19,red,dark,3782.39,red,dark,3798.84,red,dark,3805.76,yellow,normal,3811.97,red,dark,3817.55,red,dark,3822.60,red,dark,3827.21,red,dark,3831.45,red,dark,3837.23,red,dark,3842.46,red,dark,3845.69,red,dark,3848.75,red,dark,3853.07,red,dark,3862.15,yellow,normal,3867.98,red,dark,3873.39,red,dark,3878.46,red,dark,3883.24,red,dark,3887.76,red,dark,3892.07,red,dark,3896.18,red,dark,3900.11,red,dark,3907.52,red,dark
2025-10-17T10:10:59.984087,3731.85,all_red,3727.78,gray,normal,3731.01,gray,normal,3740.08,red,dark,3751.04,red,dark,3762.19,red,dark,3782.39,red,dark,3798.84,red,dark,3805.76,yellow,normal,3811.97,red,dark,3817.55,red,dark,3822.60,red,dark,3827.21,red,dark,3831.45,red,dark,3837.23,red,dark,3842.46,red,dark,3845.69,red,dark,3848.75,red,dark,3853.07,red,dark,3862.15,yellow,normal,3867.98,red,dark,3873.39,red,dark,3878.46,red,dark,3883.24,red,dark,3887.76,red,dark,3892.07,red,dark,3896.18,red,dark,3900.11,red,dark,3907.52,red,dark
2025-10-17T10:11:10.935451,3729.05,all_red,3727.78,gray,normal,3731.01,gray,normal,3740.08,red,dark,3751.04,red,dark,3762.19,red,dark,3782.39,red,dark,3798.84,red,dark,3805.76,yellow,normal,3811.97,red,dark,3817.55,red,dark,3822.60,red,dark,3827.21,red,dark,3831.45,red,dark,3837.23,red,dark,3842.46,red,dark,3845.69,red,dark,3848.75,red,dark,3853.07,red,dark,3862.15,yellow,normal,3867.98,red,dark,3873.39,red,dark,3878.46,red,dark,3883.24,red,dark,3887.76,red,dark,3892.07,red,dark,3896.18,red,dark,3900.11,red,dark,3907.52,red,dark
2025-10-17T10:11:22.073497,3731.95,all_red,3727.78,gray,normal,3731.01,gray,normal,3740.08,red,dark,3751.04,red,dark,3762.19,red,dark,3782.39,red,dark,3798.84,red,dark,3805.76,yellow,normal,3811.97,red,dark,3817.55,red,dark,3822.60,red,dark,3827.21,red,dark,3831.45,red,dark,3837.23,red,dark,3842.46,red,dark,3845.69,red,dark,3848.75,red,dark,3853.07,red,dark,3862.15,yellow,normal,3867.98,red,dark,3873.39,red,dark,3878.46,red,dark,3883.24,red,dark,3887.76,red,dark,3892.07,red,dark,3896.18,red,dark,3900.11,red,dark,3907.52,red,dark
2025-10-17T10:11:32.933364,3733.55,all_red,3727.78,gray,normal,3731.01,gray,normal,3740.08,red,dark,3751.04,red,dark,3762.19,red,dark,3782.39,red,dark,3798.84,red,dark,3805.76,yellow,normal,3811.97,red,dark,3817.55,red,dark,3822.60,red,dark,3827.21,red,dark,3831.45,red,dark,3837.23,red,dark,3842.46,red,dark,3845.69,red,dark,3848.75,red,dark,3853.07,red,dark,3862.15,yellow,normal,3867.98,red,dark,3873.39,red,dark,3878.46,red,dark,3883.24,red,dark,3887.76,red,dark,3892.07,red,dark,3896.18,red,dark,3900.11,red,dark,3907.52,red,dark
2025-10-17T10:11:43.746670,3736.45,all_red,3727.78,gray,normal,3731.01,gray,normal,3740.08,red,dark,3751.04,red,dark,3762.19,red,dark,3782.39,red,dark,3798.84,red,dark,3805.76,yellow,normal,3811.97,red,dark,3817.55,red,dark,3822.60,red,dark,3827.21,red,dark,3831.45,red,dark,3837.23,red,dark,3842.46,red,dark,3845.69,red,dark,3848.75,red,dark,3853.07,red,dark,3862.15,yellow,normal,3867.98,red,dark,3873.39,red,dark,3878.46,red,dark,3883.24,red,dark,3887.76,red,dark,3892.07,red,dark,3896.18,red,dark,3900.11,red,dark,3907.52,red,dark
2025-10-17T10:11:54.804671,3736.05,all_red,3727.78,gray,normal,3731.01,gray,normal,3740.08,red,dark,3751.04,red,dark,3762.19,red,dark,3782.39,red,dark,3798.84,red,dark,3805.76,yellow,normal,3811.97,red,dark,3817.55,red,dark,3822.60,red,dark,3827.21,red,dark,3831.45,red,dark,3837.23,red,dark,3842.46,red,dark,3845.69,red,dark,3848.75,red,dark,3853.07,red,dark,3862.15,yellow,normal,3867.98,red,dark,3873.39,red,dark,3878.46,red,dark,3883.24,red,dark,3887.76,red,dark,3892.07,red,dark,3896.18,red,dark,3900.11,red,dark,3907.52,red,dark
2025-10-17T10:12:05.774686,3735.45,all_red,3727.78,gray,normal,3731.01,gray,normal,3740.08,red,dark,3751.04,red,dark,3762.19,red,dark,3782.39,red,dark,3798.84,red,dark,3805.76,yellow,normal,3811.97,red,dark,3817.55,red,dark,3822.60,red,dark,3827.21,red,dark,3831.45,red,dark,3837.23,red,dark,3842.46,red,dark,3845.69,red,dark,3848.75,red,dark,3853.07,red,dark,3862.15,yellow,normal,3867.98,red,dark,3873.39,red,dark,3878.46,red,dark,3883.24,red,dark,3887.76,red,dark,3892.07,red,dark,3896.18,red,dark,3900.11,red,dark,3907.52,red,dark
2025-10-17T10:12:16.630073,3735.85,all_red,3727.78,gray,normal,3731.01,gray,normal,3740.08,red,dark,3751.04,red,dark,3762.19,red,dark,3782.39,red,dark,3798.84,red,dark,3805.76,yellow,normal,3811.97,red,dark,3817.55,red,dark,3822.60,red,dark,3827.21,red,dark,3831.45,red,dark,3837.23,red,dark,3842.46,red,dark,3845.69,red,dark,3848.75,red,dark,3853.07,red,dark,3862.15,yellow,normal,3867.98,red,dark,3873.39,red,dark,3878.46,red,dark,3883.24,red,dark,3887.76,red,dark,3892.07,red,dark,3896.18,red,dark,3900.11,red,dark,3907.52,red,dark
2025-10-17T10:12:27.493821,3736.25,all_red,3727.78,gray,normal,3731.01,gray,normal,3740.08,red,dark,3751.04,red,dark,3762.19,red,dark,3782.39,red,dark,3798.84,red,dark,3805.76,yellow,normal,3811.97,red,dark,3817.55,red,dark,3822.60,red,dark,3827.21,red,dark,3831.45,red,dark,3837.23,red,dark,3842.46,red,dark,3845.69,red,dark,3848.75,red,dark,3853.07,red,dark,3862.15,yellow,normal,3867.98,red,dark,3873.39,red,dark,3878.46,red,dark,3883.24,red,dark,3887.76,red,dark,3892.07,red,dark,3896.18,red,dark,3900.11,red,dark,3907.52,red,dark
2025-10-17T10:12:38.840754,3735.85,all_red,3731.31,gray,normal,3733.12,gray,normal,3741.59,red,dark,3752.22,red,dark,3763.15,red,dark,3783.10,red,dark,3799.39,red,dark,3806.27,yellow,normal,3812.43,red,dark,3817.97,red,dark,3822.99,red,dark,3827.58,red,dark,3831.79,red,dark,3837.54,red,dark,3842.74,red,dark,3845.96,red,dark,3849.01,red,dark,3853.31,red,dark,3862.36,yellow,normal,3868.17,red,dark,3873.57,red,dark,3878.62,red,dark,3883.38,red,dark,3887.90,red,dark,3892.20,red,dark,3896.30,red,dark,3900.23,red,dark,3907.62,red,dark
2025-10-17T10:12:49.944561,3733.05,all_red,3731.26,gray,normal,3733.09,gray,normal,3741.57,red,dark,3752.20,red,dark,3763.13,red,dark,3783.09,red,dark,3799.39,red,dark,3806.26,yellow,normal,3812.42,red,dark,3817.96,red,dark,3822.99,red,dark,3827.57,red,dark,3831.79,red,dark,3837.54,red,dark,3842.74,red,dark,3845.95,red,dark,3849.00,red,dark,3853.31,red,dark,3862.35,yellow,normal,3868.17,red,dark,3873.56,red,dark,3878.62,red,dark,3883.38,red,dark,3887.90,red,dark,3892.20,red,dark,3896.30,red,dark,3900.23,red,dark,3907.62,red,dark
2025-10-17T10:13:01.096985,3732.75,all_red,3731.26,gray,normal,3733.09,gray,normal,3741.57,red,dark,3752.20,red,dark,3763.13,red,dark,3783.09,red,dark,3799.39,red,dark,3806.26,yellow,normal,3812.42,red,dark,3817.96,red,dark,3822.99,red,dark,3827.57,red,dark,3831.79,red,dark,3837.54,red,dark,3842.74,red,dark,3845.95,red,dark,3849.00,red,dark,3853.31,red,dark,3862.35,yellow,normal,3868.17,red,dark,3873.56,red,dark,3878.62,red,dark,3883.38,red,dark,3887.90,red,dark,3892.20,red,dark,3896.30,red,dark,3900.23,red,dark,3907.62,red,dark
2025-10-17T10:13:12.014088,3732.95,all_red,3728.86,gray,normal,3731.65,gray,normal,3740.54,red,dark,3751.40,red,dark,3762.48,red,dark,3782.61,red,dark,3799.01,red,dark,3805.92,yellow,normal,3812.11,red,dark,3817.68,red,dark,3822.72,red,dark,3827.32,red,dark,3831.56,red,dark,3837.33,red,dark,3842.54,red,dark,3845.77,red,dark,3848.83,red,dark,3853.14,red,dark,3862.21,yellow,normal,3868.04,red,dark,3873.45,red,dark,3878.51,red,dark,3883.28,red,dark,3887.80,red,dark,3892.11,red,dark,3896.21,red,dark,3900.15,red,dark,3907.55,red,dark
2025-10-17T10:13:22.869217,3733.45,all_red,3728.56,gray,normal,3731.47,gray,normal,3740.41,red,dark,3751.30,red,dark,3762.40,red,dark,3782.55,red,dark,3798.96,red,dark,3805.88,yellow,normal,3812.07,red,dark,3817.64,red,dark,3822.69,red,dark,3827.29,red,dark,3831.53,red,dark,3837.30,red,dark,3842.52,red,dark,3845.75,red,dark,3848.81,red,dark,3853.12,red,dark,3862.20,yellow,normal,3868.02,red,dark,3873.43,red,dark,3878.50,red,dark,3883.27,red,dark,3887.79,red,dark,3892.10,red,dark,3896.20,red,dark,3900.14,red,dark,3907.54,red,dark
